latent_index,spearman,p_value
818,-0.010009090991323466,0.9212692928925397
819,,
820,,
821,,
822,,
823,0.39372691624981887,5.0623266038507535e-05
824,-0.3089736781434324,0.0017612201927250364
825,0.24918202592037894,0.01241720386147443
826,,
827,0.4995784540717289,1.2143842127819587e-07
828,,
829,0.4941838660614173,1.738686651672395e-07
830,,
831,,
832,,
833,-0.48187052390662366,3.8558260433842954e-07
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,-0.14977032497148823,0.136941953069778
847,0.3514403070076987,0.00033669590137205336
848,,
849,,
850,-0.3551667131861231,0.00028786761570216474
851,,
852,,
853,,
854,,
855,,
856,0.20046385056783153,0.045523628270567607
857,-0.35972721028049104,0.00023701479948046554
858,0.31927080053018964,0.0012047830569321479
859,0.20813868712532715,0.0377061358413533
860,,
861,-0.2562819347412673,0.01006072758742292
862,0.46268043218584887,1.2558717942161576e-06
863,,
864,,
865,,
866,-0.10568952016197855,0.29531092066609993
867,,
868,0.5335181535003414,1.095005604754837e-08
869,,
870,0.2796124777714026,0.004841454830424781
871,,
872,0.2878093712331219,0.0036888553513402447
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,0.3625535183481849,0.00020980814649306875
882,0.36345361645891544,0.0002017694019605285
883,,
884,,
885,,
886,-0.2708695247891734,0.006414670384972447
887,0.40047165142622626,3.650852148700464e-05
888,,
889,,
890,,
891,,
892,,
893,-0.17950956655002487,0.07392565544899496
894,,
895,,
896,,
897,,
898,,
899,0.19461921350215466,0.052340856091647306
900,,
901,,
902,,
903,0.29637830524727654,0.002752583076808769
904,,
905,,
906,,
907,,
908,,
909,-0.20267083368410815,0.043148877023481524
910,,
911,0.3153463727674045,0.0013945755665129658
912,-0.31724589622098376,0.0012995600629173484
913,,
914,,
915,-0.26304467187988934,0.008190555838084604
916,,
917,,
918,,
919,,
920,0.19277701270219283,0.05465624163844607
921,-0.2799365130912656,0.004790412272295517
922,,
923,0.44853689053923645,2.8671709092563195e-06
924,,
925,,
926,,
927,,
928,,
929,0.2490282179406417,0.012473176350004205
930,,
931,,
932,,
933,,
934,0.05696420910109932,0.5734773143049496
935,0.3445575567876459,0.0004474455801722683
936,,
937,,
938,,
939,,
940,,
941,,
942,,
943,,
944,-0.4303129041239791,7.876760296774493e-06
945,,
946,0.3453736457413749,0.0004327559205997584
947,-0.20761062956703194,0.03820534832169829
948,,
949,-0.12451357198438963,0.21709448424885283
950,,
951,,
952,,
953,,
954,,
